Day,Location,Food,City,Extra
2014-07-23,Lands End,Sandwich,Dodgeville,Turkey Ham
2014-07-24,Lands End,Sandwich,Dodgeville,Ham
2014-07-25,Lands End,Sandwich,Dodgeville,Turkey Ham
2014-07-28,Cuba Cuba,Sandwich,Denver,Cuban
2014-07-29,Big City,Burrito,Denver,Potato
2014-07-30,Arby's,Sandwich,Aurora,Roast Beef
2014-07-31,Chipotle,Burrito,Parker,Carnitas
2014-08-01,Arby's,Sandwich,Aurora,Roast Beef
2014-08-04,Lands End,Sandwich,Dodgeville,Turkey Ham
2014-08-05,Culvers,Burger,Dodgeville,
2014-08-06,Subway,Sandwich,Dodgeville,
2014-08-07,Bob's Bitchin' BBQ,Dodgeville,
2014-08-08,Lark Burger,Burger,Denver,
2014-08-11,Chipotle,Burrito,Denver,Carnitas
2014-08-12,Big City,Burrito,Denver,Potato
2014-08-13,Lark Burger,Burger,Denver,
2014-08-14,Brother's BBQ,BBQ,Denver,
2014-08-15,Big City,Burrito,Denver,Potato
2014-08-18,Taste of Philly,Cheesesteak,Parker,
2014-08-19,Lands End,Hot Dog,Dodgeville,
2014-08-20,Lands End,Sandwich,Dodgeville,
2014-08-21,Bob's Bitchin' BBQ,BBQ,Dodgeville,
2014-08-22,Big City,Burrito,Denver,Potato
2014-08-25,Lands End,Sandwich,Dodgeville,Turkey Ham
2014-08-26,Lands End,Burger,Dodgeville,
2014-08-27,Pizza Hut,Pizza,Dodgeville,
2014-08-28,Bob's Bitchin' BBQ,BBQ,Dodgeville,
2014-08-29,Chipotle,Burrito,Denver,
2014-09-01,Brown Bag,BBQ,Parker,
2014-09-02,Subway,Sandwich,Denver,Ham
2014-09-03,Whole Foods,Mac & Cheese,Denver,
2014-09-04,Chick-fil-a,Sandwich,Denver,
2014-09-05,Taste of Philly,Cheesesteak,Parker,
2014-09-08,Big City,Burrito,Denver,Potato
2014-09-09,Red Robin,Burger,Denver,
2014-09-10,Lands End,Burger,Dodgeville,
2014-09-11,Lands End,Sandwich,Dodgeville,
2014-09-12,Lands End,Sandwich,Dodgeville,
2014-09-15,Lands End,Sandwich,Dodgeville,Ham
2014-09-16,Lands End,Sandwich,Dodgeville,Turkey Ham
2014-09-17,Pizza Hut,Pizza,Dodgeville
2014-09-18,Big City,Burrito,Denver,Potato
2014-09-19,Red Robin,Burger,Parker,
2014-09-22,Illegal Pete's,Burrito,Denver,Green Chile
2014-09-23,Big City,Burrito,Denver,Potato
2014-09-24,Brothers,BBQ,Denver,Hot Links
2014-09-25,Sabor,Burrito,Denver,Carnitas
2014-09-26,Big City,Burrito,Denver,Potato
2014-09-29,Big City,Burrito,Denver,Potato
2014-09-30,Noodles & Company,Mac & Cheese,Denver,
2014-10-01,,,Denver,
2014-10-02,Brothers,BBQ,Denver,Hot Links
2014-10-03,Whole Foods,Tacos,Denver,
2014-10-06,Ted's Montana Grill,Burger,Denver,
2014-10-07,Lands End,Sandwich,Dodgeville,
2014-10-08,Lands End,Sandwich,Dodgeville,
2014-10-09,Culver's,Burger,Dodgeville,
2014-10-10,,,Denver,
2014-10-13,McDonalds,Burger,Parker,
2014-10-14,Panera,Sandwich,Aurora,
2014-10-15,Del Taco,Burrito,Parker,
2014-10-16,McDonalds,Burger,Parker,
2014-10-17,Chick-fil-A,Sandwich,Parker,Chicken
2014-10-20,Lands End,Sandwich,Dodgeville,Ham
2014-10-21,Subway,Sandwich,Dodgeville,Steak
2014-10-22,Subway,Sandwich,Dodgeville,BMT
2014-10-23,Culvers,Burger,Dodgeville,
2014-10-24,Big City,Burrito,Denver,Potato
2014-10-27,Chipotle,Burrito,Denver,Carnitas
2014-10-28,Illegal Pete's,Burrito,Denver,Green Chile
2014-10-29,Big City,Burrito,Denver,Potato
2014-10-30,Red Robin,Burger,Denver,
2014-10-31,Chipotle,Burrito,Denver,Carnitas
2014-11-03,Big City,Burrito,Denver,Potato
2014-11-04,Subway,Sandwich,Dodgeville,BMT
2014-11-05,Subway,Sandwich,Dodgeville,BMT
2014-11-06,Culvers,Burger,Dodgeville,
2014-11-07,Big City,Burrito,Denver,Potato
2014-11-10,Illegal Pete's,Burrito,Denver,Green Chile
2014-11-11,Chipotle,Burrito,Denver,Carnitas
2014-11-12,Big City,Burrito,Denver,Potato
2014-11-13,Chipotle,Burrito,Denver,Carnitas
2014-11-14,Big City,Burrito,Denver,Potato
2014-11-17,Sabor,Burrito,Denver,Carnitas
2014-11-18,Subway,Sandwich,Dodgeville,BMT
2014-11-19,Hardees,Burger,Dodgeville,
2014-11-20,Subway,Sandwich,Dodgeville,BMT
2014-11-21,Chipotle,Burrito,Denver,Carnitas
2014-11-24,Big City,Burrito,Denver,Potato
2014-11-25,Sabor,Burrito,Denver,Carnitas
